=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786287247
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=2307s  eta=1153s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=2330s  eta=1130s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=2353s  eta=1107s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=2377s  eta=1085s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=2401s  eta=1062s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=2423s  eta=1038s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=2447s  eta=1016s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=2471s  eta=993s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=2494s  eta=970s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=2517s  eta=947s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=2540s  eta=924s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=2565s  eta=901s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=2587s  eta=878s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=2610s  eta=855s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=2633s  eta=831s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=2655s  eta=808s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=2678s  eta=785s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=2701s  eta=762s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=2724s  eta=739s
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=2747s  eta=716s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=2771s  eta=693s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=2795s  eta=670s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=2818s  eta=647s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=2841s  eta=624s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=2864s  eta=600s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=2887s  eta=577s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=2910s  eta=554s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=2934s  eta=531s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=2956s  eta=508s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=2978s  eta=485s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=3002s  eta=462s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=3026s  eta=439s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=3049s  eta=416s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=3071s  eta=393s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=3094s  eta=369s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=3117s  eta=346s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=3140s  eta=323s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=3164s  eta=300s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=3186s  eta=277s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=3211s  eta=254s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=3235s  eta=231s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=3258s  eta=208s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=3282s  eta=185s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=3306s  eta=162s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=3328s  eta=139s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=3350s  eta=116s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=3375s  eta=92s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=3399s  eta=69s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=3423s  eta=46s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=3446s  eta=23s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=3469s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786290717
completed_count=3000
