=== BUDGET-LIMITED RUN: time_limit=28800s ===
start=1786082276
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 2840/200000 (1.4%)  ok=2840 fail=0  elapsed=3289s  eta=228339s
progress: 2860/200000 (1.4%)  ok=2860 fail=0  elapsed=3314s  eta=228406s
progress: 2880/200000 (1.4%)  ok=2880 fail=0  elapsed=3338s  eta=228466s
progress: 2900/200000 (1.5%)  ok=2900 fail=0  elapsed=3362s  eta=228473s
progress: 2920/200000 (1.5%)  ok=2920 fail=0  elapsed=3385s  eta=228491s
progress: 2940/200000 (1.5%)  ok=2940 fail=0  elapsed=3408s  eta=228460s
progress: 2960/200000 (1.5%)  ok=2960 fail=0  elapsed=3432s  eta=228442s
progress: 2980/200000 (1.5%)  ok=2980 fail=0  elapsed=3455s  eta=228455s
progress: 3000/200000 (1.5%)  ok=3000 fail=0  elapsed=3479s  eta=228422s
progress: 3020/200000 (1.5%)  ok=3020 fail=0  elapsed=3502s  eta=228411s
progress: 3040/200000 (1.5%)  ok=3040 fail=0  elapsed=3527s  eta=228489s
progress: 3060/200000 (1.5%)  ok=3060 fail=0  elapsed=3551s  eta=228548s
progress: 3080/200000 (1.5%)  ok=3080 fail=0  elapsed=3575s  eta=228536s
progress: 3100/200000 (1.6%)  ok=3100 fail=0  elapsed=3598s  eta=228505s
progress: 3120/200000 (1.6%)  ok=3120 fail=0  elapsed=3620s  eta=228417s
progress: 3140/200000 (1.6%)  ok=3140 fail=0  elapsed=3644s  eta=228459s
progress: 3160/200000 (1.6%)  ok=3160 fail=0  elapsed=3668s  eta=228463s
progress: 3180/200000 (1.6%)  ok=3180 fail=0  elapsed=3692s  eta=228515s
progress: 3200/200000 (1.6%)  ok=3200 fail=0  elapsed=3714s  eta=228441s
progress: 3220/200000 (1.6%)  ok=3220 fail=0  elapsed=3738s  eta=228426s
progress: 3240/200000 (1.6%)  ok=3240 fail=0  elapsed=3761s  eta=228425s
progress: 3260/200000 (1.6%)  ok=3260 fail=0  elapsed=3784s  eta=228358s
progress: 3280/200000 (1.6%)  ok=3280 fail=0  elapsed=3807s  eta=228312s
progress: 3300/200000 (1.7%)  ok=3300 fail=0  elapsed=3830s  eta=228292s
progress: 3320/200000 (1.7%)  ok=3320 fail=0  elapsed=3854s  eta=228323s
progress: 3340/200000 (1.7%)  ok=3340 fail=0  elapsed=3877s  eta=228304s
progress: 3360/200000 (1.7%)  ok=3360 fail=0  elapsed=3902s  eta=228338s
progress: 3380/200000 (1.7%)  ok=3380 fail=0  elapsed=3924s  eta=228294s
progress: 3400/200000 (1.7%)  ok=3400 fail=0  elapsed=3947s  eta=228227s
progress: 3420/200000 (1.7%)  ok=3420 fail=0  elapsed=3970s  eta=228191s
progress: 3440/200000 (1.7%)  ok=3440 fail=0  elapsed=3993s  eta=228135s
progress: 3460/200000 (1.7%)  ok=3460 fail=0  elapsed=4015s  eta=228068s
progress: 3480/200000 (1.7%)  ok=3480 fail=0  elapsed=4038s  eta=228029s
progress: 3500/200000 (1.8%)  ok=3500 fail=0  elapsed=4060s  eta=227934s
progress: 3520/200000 (1.8%)  ok=3520 fail=0  elapsed=4083s  eta=227912s
progress: 3540/200000 (1.8%)  ok=3540 fail=0  elapsed=4106s  eta=227899s
progress: 3560/200000 (1.8%)  ok=3560 fail=0  elapsed=4129s  eta=227841s
progress: 3580/200000 (1.8%)  ok=3580 fail=0  elapsed=4152s  eta=227800s
progress: 3600/200000 (1.8%)  ok=3600 fail=0  elapsed=4175s  eta=227771s
progress: 3620/200000 (1.8%)  ok=3620 fail=0  elapsed=4199s  eta=227779s
progress: 3640/200000 (1.8%)  ok=3640 fail=0  elapsed=4221s  eta=227709s
progress: 3660/200000 (1.8%)  ok=3660 fail=0  elapsed=4246s  eta=227792s
progress: 3680/200000 (1.8%)  ok=3680 fail=0  elapsed=4270s  eta=227799s
progress: 3700/200000 (1.8%)  ok=3700 fail=0  elapsed=4293s  eta=227765s
progress: 3720/200000 (1.9%)  ok=3720 fail=0  elapsed=4316s  eta=227705s
