=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786437330
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=1612s  eta=420s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=1626s  eta=407s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=1639s  eta=393s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=1652s  eta=379s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=1666s  eta=366s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=1679s  eta=352s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=1693s  eta=339s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=1707s  eta=325s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=1721s  eta=312s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=1733s  eta=298s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=1746s  eta=284s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=1759s  eta=271s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=1773s  eta=257s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=1787s  eta=244s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=1801s  eta=230s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=1814s  eta=217s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=1827s  eta=203s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=1841s  eta=190s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=1855s  eta=176s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=1867s  eta=162s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=1880s  eta=149s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=1894s  eta=135s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=1907s  eta=122s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=1920s  eta=108s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=1933s  eta=95s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=1947s  eta=81s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=1960s  eta=68s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=1975s  eta=54s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=1988s  eta=41s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=2002s  eta=27s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=2015s  eta=14s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=2028s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786439359
stagger_delay=22s
completed_count=3000
